"","","","","","","X.Intercept."
"108","6","30","hn+cov1+cov2","0.7","varp","0.0623878750411803"
"109","7","30","hn","0.7","p","0.513188122123013"
"110","7","30","hn","0.7","b0","-0.876473408248307"
"111","7","30","hn","0.7","cov1",NA
"112","7","30","hn","0.7","cov2",NA
"113","7","30","hn","0.7","aic","-11.2887559015147"
"114","7","30","hn","0.7","varp","0.0633676480847429"
"115","7","30","hn+cov1","0.7","p","0.451141035757277"
"116","7","30","hn+cov1","0.7","b0","0.636303126681621"
"117","7","30","hn+cov1","0.7","cov1","1.88619327565969"
"118","7","30","hn+cov1","0.7","cov2",NA
"119","7","30","hn+cov1","0.7","aic","-15.8439124698927"
"120","7","30","hn+cov1","0.7","varp","0.0675264986743497"
"121","7","30","hn+cov1+cov2","0.7","p","0.450409736942412"
"122","7","30","hn+cov1+cov2","0.7","b0","0.612318866883461"
"123","7","30","hn+cov1+cov2","0.7","cov1","1.6054287033712"
"124","7","30","hn+cov1+cov2","0.7","cov2","0.400614780166765"
"125","7","30","hn+cov1+cov2","0.7","aic","-13.9079941883669"
"126","7","30","hn+cov1+cov2","0.7","varp","0.0762636990088126"
"127","8","30","hn","0.7","p","0.471183773209873"
"128","8","30","hn","0.7","b0","-0.96992580074191"
"129","8","30","hn","0.7","cov1",NA
"130","8","30","hn","0.7","cov2",NA
"131","8","30","hn","0.7","aic","-15.1146635203598"
"132","8","30","hn","0.7","varp","0.0549235547251543"
"133","8","30","hn+cov1","0.7","p","0.455960631772338"
"134","8","30","hn+cov1","0.7","b0","1.05205679449953"
"135","8","30","hn+cov1","0.7","cov1","2.37388764771927"
"136","8","30","hn+cov1","0.7","cov2",NA
"137","8","30","hn+cov1","0.7","aic","-15.6656551066524"
"138","8","30","hn+cov1","0.7","varp","0.0753277014677489"
"139","8","30","hn+cov1+cov2","0.7","p","0.417033507675638"
"140","8","30","hn+cov1+cov2","0.7","b0","1.44422485601379"
"141","8","30","hn+cov1+cov2","0.7","cov1","5.76790877693773"
"142","8","30","hn+cov1+cov2","0.7","cov2","-4.36332449655068"
"143","8","30","hn+cov1+cov2","0.7","aic","-17.2659745850329"
"144","8","30","hn+cov1+cov2","0.7","varp","0.0844986716492062"
"145","9","30","hn","0.7","p","0.463662466488185"
"146","9","30","hn","0.7","b0","-0.987082980149242"
"147","9","30","hn","0.7","cov1",NA
"148","9","30","hn","0.7","cov2",NA
"149","9","30","hn","0.7","aic","-15.8837600293762"
"150","9","30","hn","0.7","varp","0.0751833784904578"
"151","9","30","hn+cov1","0.7","p","0.463084517763465"
"152","9","30","hn+cov1","0.7","b0","-1.22138556619974"
"153","9","30","hn+cov1","0.7","cov1","-0.270539152911338"
"154","9","30","hn+cov1","0.7","cov2",NA
"155","9","30","hn+cov1","0.7","aic","-13.9467934661606"
"156","9","30","hn+cov1","0.7","varp","0.0772950034167954"
"157","9","30","hn+cov1+cov2","0.7","p","0.463084100944944"
"158","9","30","hn+cov1+cov2","0.7","b0","-1.22839578877773"
"159","9","30","hn+cov1+cov2","0.7","cov1","-0.317833566829608"
"160","9","30","hn+cov1+cov2","0.7","cov2","0.0601563375673652"
"161","9","30","hn+cov1+cov2","0.7","aic","-11.9471850163118"
"162","9","30","hn+cov1+cov2","0.7","varp","0.0809056917775359"
"163","10","30","hn","0.7","p","0.452015638518108"
"164","10","30","hn","0.7","b0","-1.01397123576051"
"165","10","30","hn","0.7","cov1",NA
"166","10","30","hn","0.7","cov2",NA
"167","10","30","hn","0.7","aic","-17.12823073913"
"168","10","30","hn","0.7","varp","0.047959765185539"
"169","10","30","hn+cov1","0.7","p","0.401618990740735"
"170","10","30","hn+cov1","0.7","b0","0.494397382678997"
"171","10","30","hn+cov1","0.7","cov1","1.85607622012378"
"172","10","30","hn+cov1","0.7","cov2",NA
"173","10","30","hn+cov1","0.7","aic","-21.3090723859355"
"174","10","30","hn+cov1","0.7","varp","0.0556641284449102"
"175","10","30","hn+cov1+cov2","0.7","p","0.380083359828963"
"176","10","30","hn+cov1+cov2","0.7","b0","0.101810621463374"
"177","10","30","hn+cov1+cov2","0.7","cov1","-0.612014346493215"
"178","10","30","hn+cov1+cov2","0.7","cov2","3.28582061235852"
"179","10","30","hn+cov1+cov2","0.7","aic","-21.0816193988029"
"180","10","30","hn+cov1+cov2","0.7","varp","0.0595756306362783"
"181","11","30","hn","0.7","p","0.431713225495392"
"182","11","30","hn","0.7","b0","-1.0619388171026"
"183","11","30","hn","0.7","cov1",NA
"184","11","30","hn","0.7","cov2",NA
"185","11","30","hn","0.7","aic","-19.4602166285558"
"186","11","30","hn","0.7","varp","0.0475237254047689"
"187","11","30","hn+cov1","0.7","p","0.391192868252703"
"188","11","30","hn+cov1","0.7","b0","0.345566571483279"
"189","11","30","hn+cov1","0.7","cov1","1.68769944586967"
"190","11","30","hn+cov1","0.7","cov2",NA
