"","","","","","","X.Intercept."
"110","7","30","hn","0.7","b0","0.622502225840248"
"111","7","30","hn","0.7","cov1",NA
"112","7","30","hn","0.7","cov2",NA
"113","7","30","hn","0.7","aic","1.94575846644248"
"114","7","30","hn","0.7","varp","0.203536143469492"
"115","7","30","hn+cov1","0.7","p","0.79508543592816"
"116","7","30","hn+cov1","0.7","b0","-1.20103679322837"
"117","7","30","hn+cov1","0.7","cov1","4.18760303147646"
"118","7","30","hn+cov1","0.7","cov2",NA
"119","7","30","hn+cov1","0.7","aic","0.0576012674371063"
"120","7","30","hn+cov1","0.7","varp","0.160931455683239"
"121","7","30","hn+cov1+cov2","0.7","p","0.692009960271006"
"122","7","30","hn+cov1+cov2","0.7","b0","-1.37364746107416"
"123","7","30","hn+cov1+cov2","0.7","cov1","15.5806786221928"
"124","7","30","hn+cov1+cov2","0.7","cov2","-1.55798327536832"
"125","7","30","hn+cov1+cov2","0.7","aic","-0.679453636358504"
"126","7","30","hn+cov1+cov2","0.7","varp","0.687240254267249"
"127","8","30","hn","0.7","p","0.797580060426242"
"128","8","30","hn","0.7","b0","-0.202506851503418"
"129","8","30","hn","0.7","cov1",NA
"130","8","30","hn","0.7","cov2",NA
"131","8","30","hn","0.7","aic","0.656220116316289"
"132","8","30","hn","0.7","varp","0.154340887390892"
"133","8","30","hn+cov1","0.7","p","0.76447437426396"
"134","8","30","hn+cov1","0.7","b0","0.339517131000044"
"135","8","30","hn+cov1","0.7","cov1","-0.963128308926569"
"136","8","30","hn+cov1","0.7","cov2",NA
"137","8","30","hn+cov1","0.7","aic","1.53803728436363"
"138","8","30","hn+cov1","0.7","varp","0.159157528971547"
"139","8","30","hn+cov1+cov2","0.7","p","0.76182601105922"
"140","8","30","hn+cov1+cov2","0.7","b0","2.02105408096417"
"141","8","30","hn+cov1+cov2","0.7","cov1","0.0121822190595362"
"142","8","30","hn+cov1+cov2","0.7","cov2","-2.53226340914559"
"143","8","30","hn+cov1+cov2","0.7","aic","2.8715237232186"
"144","8","30","hn+cov1+cov2","0.7","varp","0.158964901351749"
"145","9","30","hn","0.7","p","0.999941485743986"
"146","9","30","hn","0.7","b0","9.26741117723863"
"147","9","30","hn","0.7","cov1",NA
"148","9","30","hn","0.7","cov2",NA
"149","9","30","hn","0.7","aic","2.00000000666966"
"150","9","30","hn","0.7","varp","1.94473845827564"
"151","9","30","hn+cov1","0.7","p","0.810639717660208"
"152","9","30","hn+cov1","0.7","b0","-0.912769039951184"
"153","9","30","hn+cov1","0.7","cov1","2.86950819404725"
"154","9","30","hn+cov1","0.7","cov2",NA
"155","9","30","hn+cov1","0.7","aic","1.17060774667219"
"156","9","30","hn+cov1","0.7","varp","0.181492371384827"
"157","9","30","hn+cov1+cov2","0.7","p","0.805621088513944"
