"","","","","","","X.Intercept."
"1","1","30","hn","0.7","p","0.751221310065241"
"2","1","30","hn","0.7","b0","-0.334897621327032"
"3","1","30","hn","0.7","cov1",NA
"4","1","30","hn","0.7","cov2",NA
"5","1","30","hn","0.7","aic","-0.197296357359261"
"6","1","30","hn","0.7","varp","0.119617794970224"
"7","1","30","hn+cov1","0.7","p","0.652369972017064"
"8","1","30","hn+cov1","0.7","b0","-0.451325239916581"
"9","1","30","hn+cov1","0.7","cov1","1.04908150672027"
"10","1","30","hn+cov1","0.7","cov2",NA
"11","1","30","hn+cov1","0.7","aic","-3.55056594851178"
"12","1","30","hn+cov1","0.7","varp","0.173363410183731"
"13","1","30","hn+cov1+cov2","0.7","p","0.652966617260476"
"14","1","30","hn+cov1+cov2","0.7","b0","-0.366819287275874"
"15","1","30","hn+cov1+cov2","0.7","cov1","1.21438815301298"
"16","1","30","hn+cov1+cov2","0.7","cov2","-0.187868796926279"
"17","1","30","hn+cov1+cov2","0.7","aic","-1.57817973729274"
"18","1","30","hn+cov1+cov2","0.7","varp","0.175200368110571"
"19","2","30","hn","0.7","p","0.671375380511536"
"20","2","30","hn","0.7","b0","-0.5309893774898"
"21","2","30","hn","0.7","cov1",NA
"22","2","30","hn","0.7","cov2",NA
"23","2","30","hn","0.7","aic","-2.42882783480794"
"24","2","30","hn","0.7","varp","0.103072205906963"
"25","2","30","hn+cov1","0.7","p","0.653185681231973"
"26","2","30","hn+cov1","0.7","b0","-0.598521630583948"
"27","2","30","hn+cov1","0.7","cov1","0.308767933313621"
"28","2","30","hn+cov1","0.7","cov2",NA
"29","2","30","hn+cov1","0.7","aic","-1.50430616762859"
"30","2","30","hn+cov1","0.7","varp","0.111742858761084"
"31","2","30","hn+cov1+cov2","0.7","p","0.651553106997786"
"32","2","30","hn+cov1+cov2","0.7","b0","-0.700096669320398"
"33","2","30","hn+cov1+cov2","0.7","cov1","0.0963216516552392"
"34","2","30","hn+cov1+cov2","0.7","cov2","0.252883622470713"
"35","2","30","hn+cov1+cov2","0.7","aic","0.452019991828357"
