"","V1","V2","V3","V4","V5"
"49","13","30","hn","0.891334472825602","0.332915219042503"
"50","13","30","hn+cov1","0.593602932930531","0.112622987457854"
"51","13","30","hr","0.711384906158887","0.0884161393152172"
"52","13","30","hr+cov1","0.690768299337778","0.0826265722241564"
"53","14","30","hn","0.461529067242314","0.058615389473694"
"54","14","30","hn+cov1","0.426255872135424","0.0509137007525318"
"55","14","30","hr","0.400349358326873","0.101596232921246"
"56","14","30","hr+cov1","0.454296772626585","0.0781304505175504"
"57","15","30","hn","0.526482559421425","0.0769015507257322"
"58","15","30","hn+cov1","0.525695338615378","0.0792447087433213"
"59","15","30","hr","0.547944412718751","0.116231636580941"
"60","15","30","hr+cov1","0.336540447753705","0.152290925222943"
"61","16","30","hn","0.61430382422306","0.102451234113342"
"62","16","30","hn+cov1","0.613559800236803","0.105380165715948"
"63","16","30","hr","0.648035526426769","0.121687593500501"
"64","16","30","hr+cov1","0.646475626188332","0.122627515008449"
"65","17","30","hn","0.520150273413855","0.0881347566869747"
"66","17","30","hn+cov1","0.519746005032597","0.0883195447726489"
"67","17","30","hr","0.728841706357409","0.0544146736475182"
"68","17","30","hr+cov1","0.727868306981522","0.0559936835451614"
"69","18","30","hn","0.41740663899626","0.0588453286587025"
"70","18","30","hn+cov1","0.395535611080006","0.0780071473918183"
"71","18","30","hr","0.406166275112037","0.0903096934447359"
"72","18","30","hr+cov1","0.477882257646527","0.0718225589152143"
"73","19","30","hn","0.380845990933426","0.0554916559979882"
"74","19","30","hn+cov1","0.377671182163547","0.0576121649395979"
"75","19","30","hr","0.441329696847876","0.0626961003411693"
"76","19","30","hr+cov1","0.438591406087576","0.0639937910351441"
"77","20","30","hn","0.655033410525453","0.0952410852325999"
"78","20","30","hn+cov1","0.606258576847632","0.168221819557852"
"79","20","30","hr","0.42461158045983","0.164725221081255"
"80","20","30","hr+cov1","0.376144367673353","0.15419087915561"
"81","21","30","hn","0.515678409113686","0.0703524972677313"
"82","21","30","hn+cov1","0.49488885240768","0.0882112610278824"
"83","21","30","hr","0.458614043883402","0.121675155173106"
"84","21","30","hr+cov1","0.425680360209549","0.129858927095046"
"85","22","30","hn","0.535999344490737","0.0748334334185097"
"86","22","30","hn+cov1","0.534534547773578","0.0757520529533106"
"87","22","30","hr","0.535904289866373","0.114127545485939"
"88","22","30","hr+cov1","0.541695796114154","0.112773606175822"
"89","23","30","hn","0.393661244877736","0.0738940628455163"
"90","23","30","hn+cov1","0.508422193970832","0.0626641526631035"
"91","23","30","hr","0.239144599326724","0.110665193476034"
"92","23","30","hr+cov1","0.237056337732088","0.10957896129313"
"93","24","30","hn","0.579700563905328","0.103119852406914"
"94","24","30","hn+cov1","0.579657423277056","0.108634396160309"
"95","24","30","hr","0.775199444748226","0.0432647387086499"
"96","24","30","hr+cov1",NA,NA
"97","25","30","hn","0.446238910346668","0.0706667013299012"
"98","25","30","hn+cov1","0.421544315724003","0.0664998249349359"
"99","25","30","hr","0.433763546264272","0.0824068913056025"
"100","25","30","hr+cov1",NA,NA
"101","26","30","hn","0.532907715501697","0.0854718692247622"
"102","26","30","hn+cov1","0.525009266540399","0.0845285035879877"
"103","26","30","hr","0.61986416997939","0.165221484245349"
"104","26","30","hr+cov1",NA,NA
"105","27","30","hn","0.469149135384599","0.0693868666257809"
"106","27","30","hn+cov1","0.46855915114347","0.0737648935758948"
"107","27","30","hr","0.5548958949281","0.0756188784256238"
"108","27","30","hr+cov1","0.533135863621556","0.0773302359085517"
"109","28","30","hn","0.318731146970798","0.0542542284517247"
"110","28","30","hn+cov1","0.395611460050697","0.0480131166586995"
"111","28","30","hr","0.369133917609916","0.07795550315646"
"112","28","30","hr+cov1","0.365384620359788","0.0775780745291279"
"113","29","30","hn","0.925371267446128","0.455565566195339"
"114","29","30","hn+cov1","0.484478291879707","0.0890624940538417"
"115","29","30","hr","0.696626866758878","0.000610753340853766"
"116","29","30","hr+cov1",NA,NA
"117","30","30","hn","0.484364660893817","0.0629212756233952"
"118","30","30","hn+cov1","0.464984362307195","0.099730586161845"
"119","30","30","hr","0.535691975071144","0.0842860664437116"
"120","30","30","hr+cov1","0.608696159112637","0.0588558818455927"
"121","31","30","hn","0.437345758348544","0.0660782520117171"
"122","31","30","hn+cov1","0.434170232053671","0.0660705547483804"
"123","31","30","hr","0.409574768035819","0.0742379876415658"
"124","31","30","hr+cov1","0.568014955098191","0.0627827754905554"
"125","32","30","hn","0.462388211755524","0.0630371115798796"
"126","32","30","hn+cov1","0.448166847117808","0.068777952691536"
"127","32","30","hr","0.293382036713301","0.119287112088211"
"128","32","30","hr+cov1","0.544246232868045","0.0843410630070067"
"129","33","30","hn","0.563767524798899","0.0920221792283062"
"130","33","30","hn+cov1","0.554674927080693","0.0945074380380913"
"131","33","30","hr","0.769664259676477","0.062115386356668"
"132","33","30","hr+cov1","0.742464753200056","0.0685796675592802"
"133","34","30","hn","0.435926220115562","0.0724578559844176"
"134","34","30","hn+cov1","0.433195498200651","0.0725356599888545"
"135","34","30","hr","0.579480329914912","0.0592939495271031"
"136","34","30","hr+cov1","0.572112065856832","0.0635820124103915"
"137","35","30","hn","0.472579998327201","0.0629186256320506"
"138","35","30","hn+cov1","0.470976355664899","0.0671180664722407"
"139","35","30","hr","0.568526297618935","0.074425804887784"
"140","35","30","hr+cov1","0.553815054931667","0.0748136604060741"
"141","36","30","hn","0.624385637710357","0.0967665297852748"
"142","36","30","hn+cov1","0.624143209318782","0.0976032566117722"
"143","36","30","hr","0.672157047674382","0.111590902590429"
"144","36","30","hr+cov1","0.660073359612344","0.117913002071518"
"145","37","30","hn","0.91312746080979","0.372106300180851"
"146","37","30","hn+cov1","0.583266462981099","0.124868563086358"
"147","37","30","hr","0.731095721632956","0.0459857947088908"
"148","37","30","hr+cov1",NA,NA
"149","38","30","hn","0.54922403757961","0.0906789162432061"
"150","38","30","hn+cov1","0.542850304230622","0.0989431951145693"
"151","38","30","hr","0.647443948119867","0.0840210435763977"
"152","38","30","hr+cov1","0.678208856814594","0.0742931444190967"
"153","39","30","hn","0.503796647424858","0.0854628563905371"
"154","39","30","hn+cov1","0.497855404726044","0.0841186039073614"
"155","39","30","hr",NA,NA
"156","39","30","hr+cov1",NA,NA
"157","40","30","hn","0.551391727393277","0.0944901633459947"
"158","40","30","hn+cov1","0.549709810640424","0.0944142422451704"
"159","40","30","hr","0.485687133058401","0.117840176905771"
"160","40","30","hr+cov1","0.744149131318587","0.000789030154334557"
"161","41","30","hn","0.505295947240129","0.0634935109098816"
"162","41","30","hn+cov1","0.495774765211721","0.0684002283147755"
"163","41","30","hr","0.491621258822799","0.104839054974714"
"164","41","30","hr+cov1","0.489979230522944","0.104297148774472"
"165","42","30","hn","0.442610868549134","0.0624013450029916"
"166","42","30","hn+cov1","0.434102289092973","0.0809510770097279"
"167","42","30","hr","0.520360653081602","0.0689825256153831"
"168","42","30","hr+cov1","0.538291136668583","0.0620728915277405"
"169","43","30","hn","0.491168064009455","0.0817985601369466"
"170","43","30","hn+cov1","0.490322648773624","0.0832114603890164"
"171","43","30","hr","0.63157434173368","0.0683783797793126"
"172","43","30","hr+cov1","0.64360918475472","0.0699971568543044"
"173","44","30","hn","0.578337901786742","0.184898664948449"
"174","44","30","hn+cov1","0.403340121078438","0.0832834542699031"
"175","44","30","hr","0.523849020093141","0.000905130604298264"
"176","44","30","hr+cov1","0.510785202284927","0.00155012375853124"
"177","45","30","hn","0.38694081547194","0.0655574537268947"
"178","45","30","hn+cov1","0.376474737192521","0.0684670615270317"
"179","45","30","hr","0.580476381697272","0.0282447592079764"
"180","45","30","hr+cov1",NA,NA
"181","46","30","hn","0.493356864572449","0.0734234531049666"
"182","46","30","hn+cov1","0.482614921235466","0.108637601589474"
"183","46","30","hr","0.563370982673828","0.0809496775012289"
"184","46","30","hr+cov1","0.571574345331759","0.076375613046157"
"185","47","30","hn","0.452403165970497","0.0646453273329707"
"186","47","30","hn+cov1","0.448172478090824","0.0858135836910707"
"187","47","30","hr","0.587632513120638","0.0637339500803003"
"188","47","30","hr+cov1","0.593496612641481","0.0583671210512345"
"189","48","30","hn","0.480367074180007","0.073229348355327"
"190","48","30","hn+cov1","0.463237755322599","0.0882397358534318"
"191","48","30","hr","0.530495409176132","0.0920683242434307"
"192","48","30","hr+cov1","0.598038611102346","0.0685999481756049"
"193","49","30","hn","0.446326247975873","0.0739986533006399"
"194","49","30","hn+cov1","0.437533923909095","0.0732063696879964"
"195","49","30","hr",NA,NA
"196","49","30","hr+cov1",NA,NA
"197","50","30","hn","0.451552352156884","0.0596650440722114"
"198","50","30","hn+cov1","0.448397014644255","0.0677255197843359"
"199","50","30","hr","0.484457817373402","0.0843955933586046"
"200","50","30","hr+cov1","0.490977667002519","0.0851541573684997"
"201","51","30","hn","0.567172311959951","0.0979239444703776"
"202","51","30","hn+cov1","0.554000112734708","0.10913989619913"
"203","51","30","hr",NA,NA
"204","51","30","hr+cov1",NA,NA
"205","52","30","hn","0.484899189584511","0.0634481545568512"
"206","52","30","hn+cov1","0.454093179131548","0.0810199521571461"
"207","52","30","hr","0.517004886571014","0.0873908541844295"
"208","52","30","hr+cov1","0.497056296981211","0.0726470465496344"
"209","53","30","hn","0.513894882673266","0.0789629272185187"
"210","53","30","hn+cov1","0.511839194735229","0.0789135956622298"
"211","53","30","hr","0.568586935414872","0.104844856454782"
"212","53","30","hr+cov1","0.617236208755945","0.0905365578537472"
"213","54","30","hn","0.612269687322428","0.0843255195617798"
"214","54","30","hn+cov1","0.581868931113822","0.0778892738644678"
"215","54","30","hr","0.508891059971317","0.167414833930024"
"216","54","30","hr+cov1","0.498537639882686","0.144340855452076"
"217","55","30","hn","0.468271067394129","0.0783830903762957"
"218","55","30","hn+cov1","0.448472075326642","0.0801039187868279"
"219","55","30","hr","0.571282402742606","0.0726874604359788"
"220","55","30","hr+cov1","0.540448522334747","0.0645851245448035"
"221","56","30","hn","0.512733885624184","0.0743670851573401"
"222","56","30","hn+cov1","0.503196901920941","0.0787326920925313"
"223","56","30","hr","0.529161701183992","0.106645210121922"
"224","56","30","hr+cov1","0.525332509903161","0.107822457183859"
"225","57","30","hn","0.593661129284539","0.109902189079494"
"226","57","30","hn+cov1","0.586577912674175","0.10946457364762"
"227","57","30","hr",NA,NA
"228","57","30","hr+cov1",NA,NA
"229","58","30","hn","0.477781899785327","0.06921680030738"
"230","58","30","hn+cov1","0.470297812016647","0.0740425378408473"
"231","58","30","hr","0.532775649171075","0.0912074134102919"
"232","58","30","hr+cov1","0.475496710760305","0.103323350911007"
"233","59","30","hn","0.468865057117691","0.0713993099026509"
"234","59","30","hn+cov1","0.46829634677143","0.0715557135146325"
"235","59","30","hr","0.519689991335076","0.0841532791072994"
"236","59","30","hr+cov1","0.520211769769249","0.083963112019291"
"237","60","30","hn","0.626659551825303","0.112278000772989"
"238","60","30","hn+cov1","0.617310583575311","0.112157399944603"
"239","60","30","hr","0.740980683633445","0.0942065196393498"
"240","60","30","hr+cov1","0.701916601382153","0.0884153590478843"
"241","61","30","hn","0.441964066281235","0.0770937234740037"
"242","61","30","hn+cov1","0.439857408182367","0.0789977191599342"
"243","61","30","hr","0.57841531431169","0.056308802652067"
"244","61","30","hr+cov1",NA,NA
